Speaker,Text,Context,filename,Summary
S2,Okay.,Okay. So now we're recording on two devices. So I'll go ahead and read the,Cataldo-etal_G27_Transcript,Okay. So now we're recording on two devices. So I'll go ahead and read the
S1,Any questions?,Okay.,Cataldo-etal_G27_Transcript,Okay.
S2,Nothing.,Any questions?,Cataldo-etal_G27_Transcript,Any questions?
S1,"Okay. So the first set of questions that I'm going to ask, are you a student of the",Nothing.,Cataldo-etal_G27_Transcript,Nothing.
S2,Yes.,"Okay. So the first set of questions that I'm going to ask, are you a student of the",Cataldo-etal_G27_Transcript,"Okay. So the first set of questions that I'm going to ask, are you a student of the"
S1,Okay. And what is your current year in school?,Yes.,Cataldo-etal_G27_Transcript,Yes.
S2,I'm a fourth-year graduate pretty much. [inaudible] third-year graduate [inaudible],Okay. And what is your current year in school?,Cataldo-etal_G27_Transcript,Okay. And what is your current year in school?
S1,Okay. And what program?,I'm a fourth-year graduate pretty much. [inaudible] third-year graduate [inaudible],Cataldo-etal_G27_Transcript,I'm a fourth-year graduate pretty much. [inaudible] third-year graduate [inaudible]
S2,Material science and engineering.,Okay. And what program?,Cataldo-etal_G27_Transcript,Okay. And what program?
S1,Okay. Have any of your parents or guardians received a bachelor's degree?,Material science and engineering.,Cataldo-etal_G27_Transcript,Material science and engineering.
S2,Yes.,Okay. Have any of your parents or guardians received a bachelor's degree?,Cataldo-etal_G27_Transcript,Okay. Have any of your parents or guardians received a bachelor's degree?
S1,Have you asked a librarian for help with a research project?,Yes.,Cataldo-etal_G27_Transcript,Yes.
S2,No.,Have you asked a librarian for help with a research project?,Cataldo-etal_G27_Transcript,Have you asked a librarian for help with a research project?
S1,Okay. Have you attended a lecture or a workshop that was taught by a librarian?,No.,Cataldo-etal_G27_Transcript,No.
S2,"I think so, a while ago.",Okay. Have you attended a lecture or a workshop that was taught by a librarian?,Cataldo-etal_G27_Transcript,Okay. Have you attended a lecture or a workshop that was taught by a librarian?
S1,Okay. And about how many times in the last two years have you attended a lecture or,"I think so, a while ago.",Cataldo-etal_G27_Transcript,"I think so, a while ago."
S2,Once. Maybe twice.,Okay. And about how many times in the last two years have you attended a lecture or,Cataldo-etal_G27_Transcript,Okay. And about how many times in the last two years have you attended a lecture or
S1,Maybe? Maybe twice? Have you ever taken a credit-bearing or for credit course,Once. Maybe twice.,Cataldo-etal_G27_Transcript,Once. Maybe twice.
S2,No.,Maybe? Maybe twice? Have you ever taken a credit-bearing or for credit course,Cataldo-etal_G27_Transcript,Maybe? Maybe twice? Have you ever taken a credit-bearing or for credit course
S1,Have you completed an online tutorial about searching for resources created by a,No.,Cataldo-etal_G27_Transcript,No.
S2,I think I took an online tutorial.,Have you completed an online tutorial about searching for resources created by a,Cataldo-etal_G27_Transcript,Have you completed an online tutorial about searching for resources created by a
S1,Have you ever --?,I think I took an online tutorial.,Cataldo-etal_G27_Transcript,I think I took an online tutorial.
S2,"Well, when I was searching in the library?",Have you ever --?,Cataldo-etal_G27_Transcript,Have you ever --?
S1,Yeah. It's just something that may have been created by a librarian about searching,"Well, when I was searching in the library?",Cataldo-etal_G27_Transcript,"Well, when I was searching in the library?"
S2,"Well, I'm not sure if this counts, but I recently did the myUFL market training.",Yeah. It's just something that may have been created by a librarian about searching,Cataldo-etal_G27_Transcript,Yeah. It's just something that may have been created by a librarian about searching
S1,The myUFL market training?,"Well, I'm not sure if this counts, but I recently did the myUFL market training.",Cataldo-etal_G27_Transcript,"Well, I'm not sure if this counts, but I recently did the myUFL market training."
S2,Yeah for purchasing stuff on the myUFL market.,The myUFL market training?,Cataldo-etal_G27_Transcript,The myUFL market training?
S1,Oh. I think that would be outside of the library. That's not -- Yeah. So we'll say no.,Yeah for purchasing stuff on the myUFL market.,Cataldo-etal_G27_Transcript,Yeah for purchasing stuff on the myUFL market.
S2,No.,Oh. I think that would be outside of the library. That's not -- Yeah. So we'll say no.,Cataldo-etal_G27_Transcript,Oh. I think that would be outside of the library. That's not -- Yeah. So we'll say no.
S1,"Okay, take that. How many research projects have you completed in the last two",No.,Cataldo-etal_G27_Transcript,No.
S2,"Man, well that's -- well in a couple of class. What's the maximum number?","Okay, take that. How many research projects have you completed in the last two",Cataldo-etal_G27_Transcript,"Okay, take that. How many research projects have you completed in the last two"
S1,10 or more.,"Man, well that's -- well in a couple of class. What's the maximum number?",Cataldo-etal_G27_Transcript,"Man, well that's -- well in a couple of class. What's the maximum number?"
S2,"[inaudible] this semester there was -- so, I guess 10 or more --",10 or more.,Cataldo-etal_G27_Transcript,10 or more.
S1,10 or more?,"[inaudible] this semester there was -- so, I guess 10 or more --",Cataldo-etal_G27_Transcript,"[inaudible] this semester there was -- so, I guess 10 or more --"
S2,One number before that.,10 or more?,Cataldo-etal_G27_Transcript,10 or more?
S1,7 to 9? You think that's --,One number before that.,Cataldo-etal_G27_Transcript,One number before that.
S2,Yeah. Let's put that.,7 to 9? You think that's --,Cataldo-etal_G27_Transcript,7 to 9? You think that's --
S1,You think that's more accurate?,Yeah. Let's put that.,Cataldo-etal_G27_Transcript,Yeah. Let's put that.
S2,Sure.,You think that's more accurate?,Cataldo-etal_G27_Transcript,You think that's more accurate?
S1,Okay. And were any of these research projects on a science topic?,Sure.,Cataldo-etal_G27_Transcript,Sure.
S2,Yes.,Okay. And were any of these research projects on a science topic?,Cataldo-etal_G27_Transcript,Okay. And were any of these research projects on a science topic?
S1,"And thinking about your last research project, tell me when it was and what it was",Yes.,Cataldo-etal_G27_Transcript,Yes.
S2,"The last research project. Well, I was in Professor Dobson's cell and tissue engineering","And thinking about your last research project, tell me when it was and what it was",Cataldo-etal_G27_Transcript,"And thinking about your last research project, tell me when it was and what it was"
S1,Cell tissue engineering?,"The last research project. Well, I was in Professor Dobson's cell and tissue engineering",Cataldo-etal_G27_Transcript,"The last research project. Well, I was in Professor Dobson's cell and tissue engineering"
S2,Yeah. And we were supposed to basically do a bit of research on a specific topic.,Cell tissue engineering?,Cataldo-etal_G27_Transcript,Cell tissue engineering?
S1,Okay. And what topic did you choose?,Yeah. And we were supposed to basically do a bit of research on a specific topic.,Cataldo-etal_G27_Transcript,Yeah. And we were supposed to basically do a bit of research on a specific topic.
S2,"Well, basically we're supposed to look up a research paper and then discuss about",Okay. And what topic did you choose?,Cataldo-etal_G27_Transcript,Okay. And what topic did you choose?
S1,And did you say this was last semester?,"Well, basically we're supposed to look up a research paper and then discuss about",Cataldo-etal_G27_Transcript,"Well, basically we're supposed to look up a research paper and then discuss about"
S2,Yeah.,And did you say this was last semester?,Cataldo-etal_G27_Transcript,And did you say this was last semester?
S1,So then the spring?,Yeah.,Cataldo-etal_G27_Transcript,Yeah.
S2,Spring. Yeah.,So then the spring?,Cataldo-etal_G27_Transcript,So then the spring?
S1,Okay. So spring 2017?,Spring. Yeah.,Cataldo-etal_G27_Transcript,Spring. Yeah.
S2,Yes.,Okay. So spring 2017?,Cataldo-etal_G27_Transcript,Okay. So spring 2017?
S1,"Okay. And for this project, where did you go first to get your information?",Yes.,Cataldo-etal_G27_Transcript,Yes.
S2,Web of Knowledge. Web of Science.,"Okay. And for this project, where did you go first to get your information?",Cataldo-etal_G27_Transcript,"Okay. And for this project, where did you go first to get your information?"
S1,Web of Knowledge?,Web of Knowledge. Web of Science.,Cataldo-etal_G27_Transcript,Web of Knowledge. Web of Science.
S2,"They're the same thing, aren't they?",Web of Knowledge?,Cataldo-etal_G27_Transcript,Web of Knowledge?
S1,"Yeah. They just changed names. Web of Science. Oops, my mouse isn't working quite","They're the same thing, aren't they?",Cataldo-etal_G27_Transcript,"They're the same thing, aren't they?"
S2,Google.,"Yeah. They just changed names. Web of Science. Oops, my mouse isn't working quite",Cataldo-etal_G27_Transcript,"Yeah. They just changed names. Web of Science. Oops, my mouse isn't working quite"
S1,Google?,Google.,Cataldo-etal_G27_Transcript,Google.
S2,I guess specifically Google Scholar.,Google?,Cataldo-etal_G27_Transcript,Google?
S1,Google Scholar? Okay. And did you use any other research resources?,I guess specifically Google Scholar.,Cataldo-etal_G27_Transcript,I guess specifically Google Scholar.
S2,Not particularly. No.,Google Scholar? Okay. And did you use any other research resources?,Cataldo-etal_G27_Transcript,Google Scholar? Okay. And did you use any other research resources?
S1,Okay. So Web of Science and Google Scholar.,Not particularly. No.,Cataldo-etal_G27_Transcript,Not particularly. No.
S2,Yeah.,Okay. So Web of Science and Google Scholar.,Cataldo-etal_G27_Transcript,Okay. So Web of Science and Google Scholar.
S1,And how did you keep track of your resources that interested you at the beginning of,Yeah.,Cataldo-etal_G27_Transcript,Yeah.
S2,I did Mendeley. I've used Mendeley.,And how did you keep track of your resources that interested you at the beginning of,Cataldo-etal_G27_Transcript,And how did you keep track of your resources that interested you at the beginning of
S1,You used Mendelay?,I did Mendeley. I've used Mendeley.,Cataldo-etal_G27_Transcript,I did Mendeley. I've used Mendeley.
S2,"Yeah. I also used Microsoft Word, I guess, and Excel.",You used Mendelay?,Cataldo-etal_G27_Transcript,You used Mendelay?
S1,Word and Excel? Okay.,"Yeah. I also used Microsoft Word, I guess, and Excel.",Cataldo-etal_G27_Transcript,"Yeah. I also used Microsoft Word, I guess, and Excel."
S2,Yeah. I used them to keep track of things.,Word and Excel? Okay.,Cataldo-etal_G27_Transcript,Word and Excel? Okay.
S1,And what did you use --? Ah. Okay. Just to let you know the mouse is being funny,Yeah. I used them to keep track of things.,Cataldo-etal_G27_Transcript,Yeah. I used them to keep track of things.
S2,Just Word. Microsoft Word.,And what did you use --? Ah. Okay. Just to let you know the mouse is being funny,Cataldo-etal_G27_Transcript,And what did you use --? Ah. Okay. Just to let you know the mouse is being funny
S1,Word? Okay. Did you use the library to find information for this project?,Just Word. Microsoft Word.,Cataldo-etal_G27_Transcript,Just Word. Microsoft Word.
S2,No.,Word? Okay. Did you use the library to find information for this project?,Cataldo-etal_G27_Transcript,Word? Okay. Did you use the library to find information for this project?
S1,"I mean, that could be Web of Science.",No.,Cataldo-etal_G27_Transcript,No.
S2,"Oh. So, yes.","I mean, that could be Web of Science.",Cataldo-etal_G27_Transcript,"I mean, that could be Web of Science."
S1,"So, yes. And what devices did you use or do you use to access the internet to get","Oh. So, yes.",Cataldo-etal_G27_Transcript,"Oh. So, yes."
S2,"My laptop, primarily.","So, yes. And what devices did you use or do you use to access the internet to get",Cataldo-etal_G27_Transcript,"So, yes. And what devices did you use or do you use to access the internet to get"
S1,Laptop?,"My laptop, primarily.",Cataldo-etal_G27_Transcript,"My laptop, primarily."
S2,"Sometimes I use a school computer. I guess I could theoretically use my phone, but",Laptop?,Cataldo-etal_G27_Transcript,Laptop?
S1,Okay.,"Sometimes I use a school computer. I guess I could theoretically use my phone, but",Cataldo-etal_G27_Transcript,"Sometimes I use a school computer. I guess I could theoretically use my phone, but"
S2,"Not for long periods of time. Maybe just a quick review, but [inaudible]. It's hard for",Okay.,Cataldo-etal_G27_Transcript,Okay.
S1,"Oh, yeah. So you said it's hard to save data on your phone?","Not for long periods of time. Maybe just a quick review, but [inaudible]. It's hard for",Cataldo-etal_G27_Transcript,"Not for long periods of time. Maybe just a quick review, but [inaudible]. It's hard for"
S2,Yeah.,"Oh, yeah. So you said it's hard to save data on your phone?",Cataldo-etal_G27_Transcript,"Oh, yeah. So you said it's hard to save data on your phone?"
S1,Okay. What device could you not live without?,Yeah.,Cataldo-etal_G27_Transcript,Yeah.
S2,My laptop.,Okay. What device could you not live without?,Cataldo-etal_G27_Transcript,Okay. What device could you not live without?
S1,Your laptop?,My laptop.,Cataldo-etal_G27_Transcript,My laptop.
S2,"Well, at least some computer, I guess. The internet in general.",Your laptop?,Cataldo-etal_G27_Transcript,Your laptop?
S1,Do you use social media for schoolwork?,"Well, at least some computer, I guess. The internet in general.",Cataldo-etal_G27_Transcript,"Well, at least some computer, I guess. The internet in general."
S2,No.,Do you use social media for schoolwork?,Cataldo-etal_G27_Transcript,Do you use social media for schoolwork?
S1,"No? And that's the end of our questions. So, let's get into -- minimize this whole thing.",No.,Cataldo-etal_G27_Transcript,No.
S2,Okay.,"No? And that's the end of our questions. So, let's get into -- minimize this whole thing.",Cataldo-etal_G27_Transcript,"No? And that's the end of our questions. So, let's get into -- minimize this whole thing."
S1,So you will have the controls. And just place it wherever you feel comfortable.,Okay.,Cataldo-etal_G27_Transcript,Okay.
S2,I might have but it's been a while.,So you will have the controls. And just place it wherever you feel comfortable.,Cataldo-etal_G27_Transcript,So you will have the controls. And just place it wherever you feel comfortable.
S1,This is not a test of anything. So just please relax and focus on what you're doing.,I might have but it's been a while.,Cataldo-etal_G27_Transcript,I might have but it's been a while.
S2,"If we can make it less than an hour and a half, I would really appreciate it.",This is not a test of anything. So just please relax and focus on what you're doing.,Cataldo-etal_G27_Transcript,This is not a test of anything. So just please relax and focus on what you're doing.
S1,It's really just up to how long it takes you to get through it. So if you want to go,"If we can make it less than an hour and a half, I would really appreciate it.",Cataldo-etal_G27_Transcript,"If we can make it less than an hour and a half, I would really appreciate it."
S2,That's good.,It's really just up to how long it takes you to get through it. So if you want to go,Cataldo-etal_G27_Transcript,It's really just up to how long it takes you to get through it. So if you want to go
S1,"So anyway, just keep talking, and speak clearly and loudly so the microphones can",That's good.,Cataldo-etal_G27_Transcript,That's good.
S2,Nope.,"So anyway, just keep talking, and speak clearly and loudly so the microphones can",Cataldo-etal_G27_Transcript,"So anyway, just keep talking, and speak clearly and loudly so the microphones can"
S1,Okay. So if you can scroll down and go ahead and hit next.,Nope.,Cataldo-etal_G27_Transcript,Nope.
S2,Welcome.,Okay. So if you can scroll down and go ahead and hit next.,Cataldo-etal_G27_Transcript,Okay. So if you can scroll down and go ahead and hit next.
S1,Yes. Go ahead and hit next again.,Welcome.,Cataldo-etal_G27_Transcript,Welcome.
S2,Okay.,Yes. Go ahead and hit next again.,Cataldo-etal_G27_Transcript,Yes. Go ahead and hit next again.
S3,Scientists have a slithering problem on their hands. Burmese pythons are literally,Okay.,Cataldo-etal_G27_Transcript,Okay.
S2,I guess I hit next now?,Scientists have a slithering problem on their hands. Burmese pythons are literally,Cataldo-etal_G27_Transcript,Scientists have a slithering problem on their hands. Burmese pythons are literally
S1,Yeah. You can go ahead and hit next. So what we're going to ask you to do now is --,I guess I hit next now?,Cataldo-etal_G27_Transcript,I guess I hit next now?
S2,Burmese python problem?,Yeah. You can go ahead and hit next. So what we're going to ask you to do now is --,Cataldo-etal_G27_Transcript,Yeah. You can go ahead and hit next. So what we're going to ask you to do now is --
S1,Sorry? Oh. So imagine that you've been asked to write a project on this topic and this,Burmese python problem?,Cataldo-etal_G27_Transcript,Burmese python problem?
S2,Wait. What exactly is the problem that I'm looking to solve?,Sorry? Oh. So imagine that you've been asked to write a project on this topic and this,Cataldo-etal_G27_Transcript,Sorry? Oh. So imagine that you've been asked to write a project on this topic and this
S1,Yeah. I'm going to give you the new prompts right here. So you can hold on to this.,Wait. What exactly is the problem that I'm looking to solve?,Cataldo-etal_G27_Transcript,Wait. What exactly is the problem that I'm looking to solve?
S2,Okay. You're beginning a literature search for your thesis on the impact of Burmese,Yeah. I'm going to give you the new prompts right here. So you can hold on to this.,Cataldo-etal_G27_Transcript,Yeah. I'm going to give you the new prompts right here. So you can hold on to this.
S1,Mm-hmm.,Okay. You're beginning a literature search for your thesis on the impact of Burmese,Cataldo-etal_G27_Transcript,Okay. You're beginning a literature search for your thesis on the impact of Burmese
S2,Okay. So I guess the first thing if I'm looking for the impact of the Burmese python will,Mm-hmm.,Cataldo-etal_G27_Transcript,Mm-hmm.
