Codes,Source
Reinforcing school dynamic at home,p008-parent
Functionalities of smartwatch,p008-parent
Daily or weekly goals,p008-parent
Sharing information with separated parents,p008-parent
Pick up of watch and phone,p008-parent
Sending information via email,p008-parent
Explaining new activity,p008-parent
Improving the activity,p008-parent
Returning watches by July,p008-parent
Duration of smartwatch usage,p008-parent
Concerns about losing or damaging the device,p008-parent
Usage of the phone and smartwatch,p008-parent
Expectations and plans for using the smartwatch,p008-parent
Son's interest and feelings towards the smartwatch,p008-parent
Son's reaction upon receiving the smartwatch,p008-parent
Son's current feelings about not having the smartwatch,p008-parent
Role in helping the son use the smartwatch,p008-parent
Detection technology,p008-parent
Smartwatch impact on organizational skills,p008-parent
Smartwatch impact on physical activity,p008-parent
Smartwatch notifications for school schedule,p008-parent
Use of the Craig app,p008-parent
Use of the HealthKit app,p008-parent
Excitement for stage two,p008-parent
Application for setting goals and to-do list on smartwatch,p008-parent
Goal accomplishment and reward system,p008-parent
Syncing reminders,p008-parent
Role in study,p008-parent
Usage of smartwatch,p008-parent
Useful features of smartwatch,p008-parent
Troubles with syncing,p008-parent
Effect on behavior,p008-parent
Effect on attention,p008-parent
Familiarity with self-regulation,p008-parent
Potential for self-regulation development,p008-parent
Extension of smartwatch usage,p008-parent
Contact information and support,p008-parent
Troubles with technology,p008-parent
Request for feedback and customization,p008-parent
Farewell and goodbye,p008-parent
Encouragement,p004-parent
Understanding,p004-parent
Attention,p004-parent
Distraction,p004-parent
Cell regulation,p004-parent
Self control,p004-parent
Frustration,p004-parent
Anger,p004-parent
Organization skills,p004-parent
Reminders,p004-parent
Tablet usage,p004-parent
Breathe app frustration,p004-parent
Smartwatch and child's physical activity,p004-parent
Role in watch management,p004-parent
Borrowing the watch,p004-parent
Setting goals and rewards,p004-parent
Explanation of wearable device usage,p004-parent
Use of alarms on the watch,p004-parent
Use of apps on the watch,p004-parent
Wearable device usage during bike rides,p004-parent
Personal usage of a different kind of watch,p004-parent
Interest in the watch prior to the study,p004-parent
Compliance with the study,p004-parent
Concerns about phone usage,p004-parent
Expectations for child's development with the watch,p004-parent
Need for reminders and alarms,p004-parent
Medication reminders,p004-parent
Waking up with alarms,p004-parent
Concerns about durability and loss of the wearable device,p004-parent
Excitement about the smartwatch and its addition to the user's technological devices,p004-parent
Decreased enthusiasm for the smartwatch over time,p004-parent
Importance of reminders as the most useful feature of the smartwatch,p004-parent
Difficulty in knowing how to use the smartwatch correctly,p004-parent
Inability to use certain features of the smartwatch due to lack of credit cards,p004-parent
Impact of the smartwatch on the behavior of Bruce Banner (positive or negative),p004-parent
Family supplement behavioral program,p004-parent
Setting goals on the watch,p004-parent
Syncing the watch and phone,p004-parent
Receiving tokens in exchange,p004-parent
Adding features to the watch,p004-parent
Location finder feature,p004-parent
Activating GPS on the watch,p004-parent
Installing apps with points,p004-parent
Rewards negotiation,p004-parent
Apps preferences,p004-parent
Password security,p004-parent
Inappropriate apps for kids,p004-parent
Parental control,p004-parent
Notification settings,p004-parent
Installation of new application,p004-parent
Tutorial and usage guidance,p004-parent
less useful part,p009-parent
smartwatch affects behavior,p009-parent
app and regulation,p009-parent
smartwatch and attention,p009-parent
technology and distractions,p009-parent
